urban_rural,region,age,gender,education,employment_status,occupation,country_direction,economic_condition,presidents_performance,trust_president,corruption_level,handle_economy,handle_corruption,news_radio,news_tv,news_newspapers,news_social_media,news_internet,voted_last_election,party_voted_for,education_grouped,occupation_grouped
Rural,Machakos,25.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Disapprove,Not at all,Increased a lot,Very badly,Fairly badly,Every day,Every day,Never,Every day,Never,I did not vote,Orange Democratic Movement (ODM),Secondary School,Agriculture
Rural,Kiambu,62.0,Woman,No formal schooling,Unemployed (Not looking),Retail / Shop,Going in the wrong direction,Fairly good,Strongly disapprove,Just a little,Increased a lot,Fairly badly,Very badly,Never,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Trader
Rural,Busia,25.0,Woman,Primary school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,A few times a week,A few times a month,Never,A few times a week,Never,I voted in the election,Undecided/No Response,Primary School,Housewife
Urban,Marsabit,35.0,Woman,Secondary school / high school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Approve,Somewhat,Increased a lot,Fairly well,Very badly,Every day,Every day,A few times a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,33.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Very good,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Never,Every day,Every day,I did not vote,Would not vote,Certificate/Diploma,Professional
Urban,Nairobi,30.0,Woman,Some primary schooling,Employed (Part-time),Retail / Shop,Going in the right direction,Fairly good,Disapprove,Somewhat,Stayed the same,Fairly well,Fairly badly,Every day,Never,Never,Every day,Every day,I did not vote,Would not vote,Primary School,Trader
Urban,Nairobi,23.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Retail / Shop,Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,A few times a month,Every day,Every day,I did not vote,Would not vote,Certificate/Diploma,Trader
Urban,Mombasa,18.0,Man,Primary school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Very bad,Approve,Not at all,Decreased a lot,Very badly,Fairly badly,Every day,A few times a week,Every day,Every day,Every day,I voted in the election,Other,Primary School,Skilled/Unskilled Labor
Urban,Nyandarua,36.0,Woman,Intermediate school or Some secondary school / high school,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly bad,Disapprove,Not at all,Stayed the same,Very badly,Undecided/No Response,A few times a month,Every day,Never,A few times a week,Never,I voted in the election,Would not vote,Secondary School,Skilled/Unskilled Labor
Urban,Nyandarua,34.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Disapprove,Just a little,Stayed the same,Fairly well,Fairly badly,Every day,Every day,Never,A few times a week,A few times a week,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Marsabit,37.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Very bad,Disapprove,Somewhat,Increased somewhat,Fairly well,Fairly badly,Never,Every day,Never,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Housewife
Urban,Nyandarua,32.0,Man,Secondary school / high school completed,Unemployed (Not looking),Undecided/No Response,Going in the wrong direction,Fairly good,Approve,Just a little,Stayed the same,Fairly badly,Fairly well,Every day,A few times a month,Never,Every day,A few times a month,I voted in the election,Would not vote,Secondary School,Undecided/No Response
Urban,Nairobi,21.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Never had a job,Going in the right direction,Fairly bad,Approve,Just a little,Increased somewhat,Very badly,Fairly well,A few times a week,A few times a week,Never,A few times a week,Less than once a month,I did not vote,Would not vote,Secondary School,Undecided/No Response
Rural,Nakuru,39.0,Man,Intermediate school or Some secondary school / high school,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Never,Never,Never,I voted in the election,Would not vote,Secondary School,Skilled/Unskilled Labor
Rural,Busia,49.0,Man,Some primary schooling,Employed (Part-time),Trader / hawker / vendor,Going in the right direction,Neither good nor bad,Approve,A lot,Stayed the same,Fairly badly,Fairly well,A few times a month,Every day,Less than once a month,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Primary School,Trader
Rural,Nakuru,20.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Other,Going in the wrong direction,Very bad,Disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Every day,Every day,A few times a week,Every day,I was too young to vote,Would not vote,Certificate/Diploma,Undecided/No Response
Urban,Nairobi,33.0,Man,Secondary school / high school completed,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very good,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,A few times a week,Every day,A few times a month,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Rural,Kiambu,40.0,Man,Post-graduate,Employed (Full-time),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased somewhat,Fairly badly,Fairly badly,A few times a week,A few times a month,Never,Every day,Every day,I did not vote,Undecided/No Response,Masters/PhD,Professional
Urban,Marsabit,25.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Very bad,Approve,Just a little,Increased somewhat,Very badly,Very badly,A few times a week,A few times a week,A few times a week,Every day,A few times a week,I did not vote,United Democratic Alliance (UDA),Certificate/Diploma,Professional
Rural,Nakuru,53.0,Woman,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Undecided/No Response,Fairly good,Strongly approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,A few times a month,A few times a month,I voted in the election,Undecided/No Response,Primary School,Agriculture
Rural,Busia,55.0,Man,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Undecided/No Response,Neither good nor bad,Strongly disapprove,Somewhat,Stayed the same,Fairly well,Very badly,Every day,A few times a week,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Agriculture
Rural,Nakuru,23.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly bad,Approve,A lot,Increased a lot,Fairly badly,Very badly,Every day,Every day,Never,Every day,Never,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Professional
Urban,Mombasa,36.0,Man,Primary school completed,Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Neither good nor bad,Disapprove,Somewhat,Decreased somewhat,Fairly well,Fairly badly,Every day,Every day,Every day,A few times a month,A few times a month,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Tana River,22.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Student,Going in the right direction,Fairly good,Disapprove,Just a little,Increased somewhat,Very badly,Fairly badly,A few times a week,Never,Never,Never,Never,I did not vote,Would not vote,Secondary School,Student
Rural,Tana River,63.0,Man,No formal schooling,Unemployed (Not looking),"Security services (police, army, private security)",Going in the wrong direction,Neither good nor bad,Approve,Just a little,Undecided/No Response,Fairly well,Fairly well,Every day,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Security Services
Urban,Mombasa,38.0,Woman,Some primary schooling,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly disapprove,Just a little,Stayed the same,Fairly badly,Very badly,A few times a week,A few times a week,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Kakamega,34.0,Man,Secondary school / high school completed,Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Disapprove,Not at all,Increased a lot,Very badly,Fairly badly,Every day,A few times a week,Never,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Agriculture
Urban,Nyandarua,21.0,Man,Secondary school / high school completed,Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a week,Never,Less than once a month,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,19.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Student,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Very badly,Never,Never,Never,Every day,Undecided/No Response,I was too young to vote,Would not vote,Secondary School,Student
Rural,Machakos,25.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,Every day,Every day,Never,Every day,Every day,I voted in the election,Wiper Democratic Movement (WDM–K),Certificate/Diploma,Agriculture
Rural,Tana River,40.0,Man,Some primary schooling,Unemployed (Actively looking),Never had a job,Going in the right direction,Fairly good,Approve,Not at all,Stayed the same,Fairly badly,Undecided/No Response,Every day,Never,Never,Never,Never,I voted in the election,Undecided/No Response,Primary School,Undecided/No Response
Rural,Tana River,68.0,Man,Informal schooling only (including Koranic schooling),Unemployed (Not looking),Never had a job,Going in the right direction,Fairly good,Strongly approve,Just a little,Stayed the same,Fairly well,Fairly badly,A few times a month,Never,Never,Never,A few times a week,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Undecided/No Response
Rural,Busia,22.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Undecided/No Response,Just a little,Increased a lot,Fairly badly,Fairly well,A few times a week,A few times a week,A few times a month,A few times a week,A few times a week,I voted in the election,Would not vote,Secondary School,Trader
Urban,Mombasa,59.0,Man,Secondary school / high school completed,Unemployed (Not looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very good,Approve,Somewhat,Decreased somewhat,Fairly well,Very badly,Every day,Never,Never,Every day,A few times a week,I voted in the election,United Democratic Alliance (UDA),Secondary School,Skilled/Unskilled Labor
Rural,Machakos,39.0,Man,Primary school completed,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Neither good nor bad,Approve,A lot,Decreased somewhat,Very badly,Fairly well,Every day,Never,Never,Never,Never,I voted in the election,Kenya Social Congress (KSC),Primary School,Skilled/Unskilled Labor
Rural,Kakamega,64.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Not looking),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Fairly bad,Strongly disapprove,Just a little,Increased somewhat,Very badly,Very badly,Every day,Every day,A few times a week,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Professional
Urban,Nairobi,41.0,Man,Primary school completed,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Undecided/No Response,Very bad,Approve,Somewhat,Decreased somewhat,Very badly,Fairly badly,Every day,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Nyamira  ,19.0,Man,Some university,Unemployed (Not looking),Student,Going in the wrong direction,Fairly bad,Disapprove,Just a little,Stayed the same,Fairly badly,Fairly well,Every day,Every day,A few times a month,Every day,A few times a week,I did not vote,Undecided/No Response,Bachelors Degree,Student
Rural,Nyamira  ,27.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Fairly badly,Very badly,Every day,A few times a week,Never,Every day,Never,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Agriculture
Urban,Nairobi,22.0,Woman,Some primary schooling,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased somewhat,Very badly,Very badly,A few times a month,A few times a month,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Skilled/Unskilled Labor
Urban,Nairobi,29.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Retail / Shop,Going in the wrong direction,Very good,Disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,Every day,Never,Every day,A few times a month,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Trader
Urban,Marsabit,45.0,Man,Primary school completed,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a week,Every day,Less than once a month,Never,Never,I voted in the election,Jubilee Alliance Party (JAP),Primary School,Skilled/Unskilled Labor
Urban,Nyandarua,34.0,Man,Secondary school / high school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Disapprove,Just a little,Increased a lot,Fairly badly,Fairly badly,Never,Every day,A few times a week,Never,Never,I voted in the election,Would not vote,Secondary School,Skilled/Unskilled Labor
Rural,Nakuru,32.0,Man,Intermediate school or Some secondary school / high school,Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the right direction,Neither good nor bad,Strongly approve,A lot,Decreased somewhat,Fairly well,Fairly well,Every day,A few times a month,Never,A few times a week,A few times a month,I voted in the election,United Democratic Alliance (UDA),Secondary School,Agriculture
Urban,Nairobi,21.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Student,Going in the wrong direction,Fairly good,Strongly disapprove,Not at all,Stayed the same,Very badly,Very badly,Every day,Never,Never,Every day,Every day,I did not vote,Would not vote,Secondary School,Student
Rural,Nyamira  ,68.0,Man,No formal schooling,Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Somewhat,Increased a lot,Fairly badly,Very badly,Every day,Every day,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Informal Schooling,Agriculture
Rural,Nakuru,29.0,Woman,Some primary schooling,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly approve,Somewhat,Decreased a lot,Fairly well,Fairly well,Every day,A few times a month,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Rural,Nyamira  ,38.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,Never,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Agriculture
Urban,Nairobi,36.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Retail / Shop,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased somewhat,Very badly,Very badly,Every day,Every day,Less than once a month,Every day,Every day,I voted in the election,Jubilee Alliance Party (JAP),Secondary School,Trader
Rural,Nakuru,29.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Undecided/No Response,A lot,Decreased somewhat,Fairly well,Fairly well,Every day,A few times a week,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Agriculture
Urban,Nyandarua,20.0,Man,University completed,Employed (Part-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Fairly bad,Undecided/No Response,Somewhat,Decreased somewhat,Fairly well,Fairly well,A few times a week,Every day,A few times a week,Every day,A few times a month,I did not vote,Would not vote,Bachelors Degree,Professional
Urban,Mombasa,65.0,Woman,Some primary schooling,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly good,Strongly approve,A lot,Increased a lot,Very badly,Very badly,A few times a week,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Kiambu,40.0,Woman,University completed,Employed (Part-time),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Less than once a month,Every day,Every day,I voted in the election,Would not vote,Bachelors Degree,Professional
Rural,Machakos,33.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Fairly good,Approve,Somewhat,Increased somewhat,Fairly badly,Fairly badly,Every day,Every day,Never,A few times a week,Never,I did not vote,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nyandarua,57.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Disapprove,Somewhat,Increased somewhat,Fairly well,Fairly badly,Never,Every day,Never,Every day,Every day,I did not vote,Would not vote,Secondary School,Trader
Rural,Nakuru,36.0,Woman,Some primary schooling,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Approve,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,Never,Never,A few times a week,Never,I voted in the election,Undecided/No Response,Primary School,Agriculture
Urban,Nairobi,39.0,Man,Post-graduate,Employed (Full-time),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Fairly bad,Approve,Somewhat,Stayed the same,Fairly badly,Very badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Masters/PhD,Professional
Rural,Kiambu,52.0,Man,Secondary school / high school completed,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly bad,Disapprove,Somewhat,Increased a lot,Very badly,Fairly badly,Every day,Every day,Never,A few times a week,A few times a week,I voted in the election,Would not vote,Secondary School,Skilled/Unskilled Labor
Rural,Kakamega,40.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Approve,Just a little,Decreased somewhat,Fairly well,Fairly badly,Every day,A few times a month,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Secondary School,Agriculture
Rural,Machakos,40.0,Woman,Undecided/No Response,Unemployed (Not looking),Housewife / homemaker,Going in the wrong direction,Very bad,Undecided/No Response,Undecided/No Response,Undecided/No Response,Fairly well,Fairly badly,Every day,A few times a week,A few times a month,A few times a week,A few times a month,I did not vote,Undecided/No Response,Undecided/No Response,Housewife
Urban,Nyandarua,21.0,Woman,Secondary school / high school completed,Unemployed (Not looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Approve,Not at all,Increased somewhat,Fairly badly,Fairly badly,Every day,Every day,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Rural,Kakamega,45.0,Woman,Some primary schooling,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Disapprove,Just a little,Decreased somewhat,Fairly badly,Fairly badly,Every day,Every day,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Skilled/Unskilled Labor
Rural,Tana River,39.0,Woman,Some primary schooling,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Neither good nor bad,Approve,Somewhat,Undecided/No Response,Fairly well,Fairly well,Never,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Housewife
Rural,Tana River,23.0,Woman,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Somewhat,Increased a lot,Fairly well,Fairly badly,A few times a week,Never,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Agriculture
Urban,Nairobi,42.0,Man,Some university,Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,Every day,A few times a week,Every day,Undecided/No Response,I voted in the election,Undecided/No Response,Bachelors Degree,Professional
Rural,Kiambu,19.0,Man,Secondary school / high school completed,Unemployed (Not looking),Student,Going in the wrong direction,Fairly good,Undecided/No Response,Somewhat,Stayed the same,Fairly badly,Fairly well,A few times a week,Every day,Never,Every day,Never,I was too young to vote,Jubilee Alliance Party (JAP),Secondary School,Student
Urban,Nairobi,24.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Less than once a month,Never,Every day,Every day,I did not vote,Would not vote,Certificate/Diploma,Trader
Rural,Tana River,35.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Approve,Just a little,Stayed the same,Fairly badly,Very badly,Every day,Never,Never,A few times a week,A few times a week,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Skilled/Unskilled Labor
Rural,Tana River,35.0,Woman,Informal schooling only (including Koranic schooling),Unemployed (Not looking),Housewife / homemaker,Going in the right direction,Fairly good,Approve,A lot,Increased a lot,Fairly well,Fairly well,Never,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Housewife
Rural,Nakuru,37.0,Man,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Fairly bad,Strongly approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Rural,Nakuru,23.0,Woman,Primary school completed,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Approve,A lot,Stayed the same,Fairly badly,Fairly badly,Every day,Never,Never,Never,Never,I did not vote,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Kiambu,51.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Strongly disapprove,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,A few times a week,Less than once a month,I voted in the election,Would not vote,Certificate/Diploma,Agriculture
Urban,Nairobi,45.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the right direction,Very good,Strongly disapprove,Somewhat,Increased a lot,Fairly well,Fairly well,Every day,A few times a week,Less than once a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,53.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Not looking),Clerical or secretarial,Going in the wrong direction,Very bad,Approve,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Professional
Rural,Nakuru,20.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly bad,Approve,A lot,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Less than once a month,I did not vote,United Democratic Alliance (UDA),Secondary School,Agriculture
Rural,Nakuru,19.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Strongly approve,A lot,Increased a lot,Fairly well,Fairly well,Every day,A few times a month,Never,Never,Never,I did not vote,United Democratic Alliance (UDA),Secondary School,Agriculture
Urban,Nairobi,35.0,Woman,Secondary school / high school completed,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very good,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Never,Never,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,36.0,Man,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Disapprove,Just a little,Stayed the same,Very badly,Very badly,Less than once a month,Less than once a month,Never,Less than once a month,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Machakos,25.0,Woman,Secondary school / high school completed,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Approve,A lot,Increased somewhat,Fairly well,Fairly badly,Every day,Every day,A few times a week,Every day,A few times a week,I did not vote,United Democratic Alliance (UDA),Secondary School,Skilled/Unskilled Labor
Urban,Machakos,34.0,Man,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased somewhat,Very badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Undecided/No Response,Secondary School,Trader
Urban,Machakos,28.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Retail / Shop,Going in the wrong direction,Fairly bad,Approve,A lot,Decreased somewhat,Fairly badly,Fairly well,Every day,Every day,A few times a week,Every day,Every day,I voted in the election,Wiper Democratic Movement (WDM–K),Certificate/Diploma,Trader
Urban,Machakos,30.0,Man,Secondary school / high school completed,Employed (Full-time),"Security services (police, army, private security)",Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Fairly badly,Fairly badly,A few times a week,A few times a month,A few times a month,Never,A few times a week,I voted in the election,Wiper Democratic Movement (WDM–K),Secondary School,Security Services
Urban,Laikipia,60.0,Man,Secondary school / high school completed,Employed (Full-time),"Security services (police, army, private security)",Going in the right direction,Neither good nor bad,Approve,Just a little,Stayed the same,Fairly badly,Fairly well,Every day,A few times a month,Less than once a month,Never,Never,I did not vote,United Democratic Alliance (UDA),Secondary School,Security Services
